Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Commercial,North America,Over 92903,More than 25,100,247.8,RC
Commercial,North America,9291 to 18580,1 to 6,50,248.0,Wood-Hybrid
Commercial,Europe,Over 92903,More than 25,100,250.8,RC
Commercial,North America,9291 to 18580,1 to 6,50,251.0,Wood-Hybrid
Commercial,North America,2324 to 4645,1 to 6,50,252.0,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,252.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,252.0,Wood-Hybrid
Residential,North America,18581 to 46451,More than 25,50,253.0,RC
Commercial,North America,46452 to 92903,7 to 14,50,254.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,254.0,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,50,255.0,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,50,255.0,Wood-Hybrid
Commercial,North America,46452 to 92903,7 to 14,50,256.0,Wood-Hybrid
Commercial,North America,Over 92903,7 to 14,50,256.0,Wood-Hybrid
Residential,Asia-Pacific,46452 to 92903,More than 25,50,257.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,257.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,257.6,RC
Commercial,North America,18581 to 46451,1 to 6,50,258.0,Wood-Hybrid
Commercial,North America,2324 to 4645,1 to 6,50,258.0,Wood-Hybrid
Commercial,North America,46452 to 92903,More than 25,50,258.0,RC
Commercial,Europe,Over 92903,More than 25,100,258.3,RC
Commercial,Asia-Pacific,46452 to 92903,7 to 14,50,259.0,Wood-Hybrid
Commercial,North America,18581 to 46451,1 to 6,50,259.0,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,50,259.6,Wood-Hybrid
Residential,North America,4646 to 9290,7 to 14,50,260.0,Wood-Hybrid
Commercial,North America,46452 to 92903,More than 25,50,260.0,RC
Commercial,North America,18581 to 46451,15 to 25,50,261.0,Wood-Hybrid
Residential,Europe,4646 to 9290,7 to 14,50,261.3,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,262.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,264.0,Wood-Hybrid
Commercial,Europe,18581 to 46451,7 to 14,40,265.1,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,265.1,RC
Commercial,North America,18581 to 46451,1 to 6,40,265.7,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,50,266.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,266.0,Wood-Hybrid
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,266.7,Wood-Hybrid
Commercial,North America,9291 to 18580,7 to 14,40,269.9,Wood-Hybrid
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,271.4,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,272.0,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,273.0,Wood-Hybrid
Residential,Europe,93 or less,1 to 6,50,273.2,Wood-Hybrid
Commercial,North America,2324 to 4645,1 to 6,50,274.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,50,276.0,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,50,277.0,Wood-Hybrid
Commercial,North America,18581 to 46451,7 to 14,40,281.6,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,50,283.0,RC
Commercial,North America,9291 to 18580,1 to 6,50,285.0,Wood-Hybrid
Commercial,North America,9291 to 18580,7 to 14,50,285.0,Wood-Hybrid
Commercial,North America,Over 92903,More than 25,100,285.4,RC
Commercial,North America,Over 92903,More than 25,100,285.4,RC
Commercial,North America,46452 to 92903,1 to 6,50,286.0,Wood-Hybrid
Commercial,North America,930 to 2323,1 to 6,50,286.0,Wood-Hybrid
Commercial,North America,2324 to 4645,1 to 6,50,286.0,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,50,289.0,Wood-Hybrid
Commercial,Africa,Over 92903,More than 25,50,292.0,RC
Residential,North America,4646 to 9290,7 to 14,50,292.0,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,40,292.3,Wood-Hybrid
Commercial,North America,9291 to 18580,1 to 6,40,293.6,Wood-Hybrid
Commercial,North America,4646 to 9290,7 to 14,50,294.0,Wood-Hybrid
Commercial,North America,46452 to 92903,More than 25,50,294.0,RC
Commercial,North America,2324 to 4645,7 to 14,50,300.0,Wood-Hybrid
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,302.7,Wood-Hybrid
Commercial,North America,46452 to 92903,More than 25,40,303.7,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,304.0,Wood-Hybrid
Commercial,North America,18581 to 46451,1 to 6,40,305.3,Wood-Hybrid
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,306.8,Wood-Hybrid
Commercial,North America,4646 to 9290,1 to 6,40,308.3,Wood-Hybrid
Residential,North America,18581 to 46451,More than 25,50,309.0,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,309.0,RC
Commercial,Europe,9291 to 18580,1 to 6,50,309.0,RC
Commercial,North America,9291 to 18580,7 to 14,50,310.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,310.0,RC
Commercial,North America,46452 to 92903,7 to 14,40,310.2,RC
Residential,North America,18581 to 46451,7 to 14,40,312.8,RC
Commercial,Middle East,18581 to 46451,1 to 6,50,313.0,RC
Residential,Europe,2324 to 4645,7 to 14,50,314.0,RC
Residential,Asia-Pacific,Over 92903,More than 25,50,316.0,RC
Commercial,Asia-Pacific,4646 to 9290,15 to 25,50,317.0,RC
Commercial,North America,466 to 929,1 to 6,50,317.0,RC
Commercial,North America,Over 92903,7 to 14,40,318.6,RC
Residential,Asia-Pacific,4646 to 9290,1 to 6,60,319.6,RC
Commercial,Asia-Pacific,46452 to 92903,7 to 14,50,321.0,RC
Residential,Europe,4646 to 9290,7 to 14,50,321.8,RC
Commercial,North America,930 to 2323,1 to 6,50,322.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,323.0,RC
Residential,Asia-Pacific,Over 92903,More than 25,50,328.0,Steel - Concrete
Commercial,North America,18581 to 46451,More than 25,50,328.0,Steel - Concrete
Residential,North America,2324 to 4645,1 to 6,50,328.0,RC
Commercial,Europe,4646 to 9290,7 to 14,50,329.0,RC
Commercial,Middle East,Over 92903,7 to 14,50,335.0,RC
Commercial,North America,46452 to 92903,15 to 25,50,336.0,RC
Commercial,North America,18581 to 46451,1 to 6,40,338.0,RC
Commercial,Middle East,9291 to 18580,1 to 6,50,340.0,RC
Commercial,North America,2324 to 4645,1 to 6,40,340.8,RC
Commercial,North America,46452 to 92903,7 to 14,50,341.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,341.0,RC
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,341.7,RC
Residential,Asia-Pacific,4646 to 9290,15 to 25,50,342.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,343.0,RC
Commercial,North America,2324 to 4645,1 to 6,50,344.0,RC
Commercial,North America,46452 to 92903,1 to 6,40,346.4,RC
Commercial,Middle East,9291 to 18580,7 to 14,40,347.0,RC
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,350.0,RC
Commercial,North America,930 to 2323,1 to 6,50,352.0,RC
Commercial,Europe,18581 to 46451,7 to 14,60,352.1,RC
Commercial,Europe,46452 to 92903,7 to 14,40,354.8,RC
Commercial,North America,466 to 929,1 to 6,50,355.0,RC
Residential,North America,46452 to 92903,More than 25,50,355.0,Steel - Concrete
Residential,Europe,9291 to 18580,7 to 14,40,355.0,RC
Commercial,Asia-Pacific,Over 92903,More than 25,50,356.0,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,356.0,RC
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,358.3,RC
Commercial,North America,2324 to 4645,1 to 6,50,359.0,RC
Commercial,Asia-Pacific,2324 to 4645,1 to 6,40,359.2,RC
Commercial,Middle East,Over 92903,7 to 14,50,361.0,RC
Residential,Europe,94 to 465,1 to 6,50,362.1,RC
Commercial,North America,46452 to 92903,1 to 6,40,362.5,RC
Commercial,North America,Over 92903,More than 25,50,364.0,Steel - Concrete
Commercial,North America,18581 to 46451,15 to 25,40,366.5,Steel - Concrete
Commercial,Europe,4646 to 9290,7 to 14,60,367.6,RC
Commercial,Asia-Pacific,466 to 929,1 to 6,60,369.3,RC
Commercial,Europe,9291 to 18580,7 to 14,60,370.7,RC
Residential,North America,46452 to 92903,More than 25,40,370.8,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,371.0,RC
Residential,Europe,94 to 465,7 to 14,60,373.8,RC
Commercial,North America,18581 to 46451,7 to 14,50,374.0,RC
Residential,North America,9291 to 18580,7 to 14,40,374.0,RC
Commercial,North America,18581 to 46451,7 to 14,40,375.2,RC
Commercial,North America,9291 to 18580,1 to 6,50,377.0,RC
Commercial,Middle East,Over 92903,More than 25,50,379.0,Steel - Concrete
Commercial,North America,Over 92903,More than 25,50,380.0,Steel - Concrete
Commercial,North America,Over 92903,1 to 6,50,381.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,381.0,RC
Commercial,Middle East,46452 to 92903,1 to 6,50,383.0,RC
Residential,Europe,94 to 465,1 to 6,50,385.0,RC
Commercial,North America,Over 92903,More than 25,40,385.4,Steel - Concrete
Commercial,North America,18581 to 46451,7 to 14,40,385.5,RC
Residential,Europe,46452 to 92903,15 to 25,40,385.7,Steel - Concrete
Commercial,North America,2324 to 4645,1 to 6,50,386.0,RC
Commercial,North America,18581 to 46451,7 to 14,40,387.2,RC
Commercial,North America,46452 to 92903,15 to 25,40,388.0,Steel - Concrete
Residential,South America,18581 to 46451,15 to 25,40,388.1,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,389.0,RC
Commercial,North America,18581 to 46451,7 to 14,50,389.0,RC
Commercial,North America,4646 to 9290,1 to 6,50,391.0,RC
Commercial,Asia-Pacific,2324 to 4645,7 to 14,60,391.7,RC
Commercial,North America,46452 to 92903,7 to 14,50,392.0,RC
Commercial,North America,46452 to 92903,More than 25,40,392.0,Steel - Concrete
Commercial,North America,Over 92903,More than 25,40,393.1,Steel - Concrete
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,393.7,RC
Commercial,North America,4646 to 9290,7 to 14,75,394.5,RC
Commercial,North America,46452 to 92903,More than 25,40,396.5,Steel - Concrete
Commercial,North America,18581 to 46451,1 to 6,50,399.0,RC
Commercial,Europe,9291 to 18580,7 to 14,50,399.0,RC
Commercial,Asia-Pacific,9291 to 18580,1 to 6,40,401.0,RC
