Type,Location,Footprint,Tot_area,Floors,Build_life,CO2,Building_Construction_Type,Type_B,Location_B,Footprint_B,Tot_area_B,Floors_B,clear_Footprint,clear_floors,Clear_Area
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,178.0,3,0,4,0,4,2,20500.2,7.47,153136.494
Residential,Europe,93 or less,"1,000 or less",1 to 6,50,179.0,2,3,2,6,0,0,0.0,1.29,0.0
Commercial,North America,94 to 465,"1,001 to 5,000",1 to 6,50,181.0,2,0,4,8,1,0,134.99,1.29,174.1371
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,50,181.2,2,3,4,8,1,0,135.05,1.29,174.21450000000002
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,181.8,2,3,4,8,1,0,135.2,1.29,174.408
Residential,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,184.0,3,3,4,2,8,2,47730.47,7.49,357501.22030000004
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,185.0,3,0,4,2,8,2,47745.69,7.5,358092.67500000005
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,185.4,2,3,4,8,1,0,136.12,1.3,176.95600000000002
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,50,185.9,2,3,4,8,1,0,136.25,1.3,177.125
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,186.0,0,0,2,9,9,3,95464.68,25.63,2446759.7484
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,187.2,2,3,4,8,1,0,136.59,1.3,177.567
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,187.5,3,0,4,2,8,2,47783.74,7.51,358855.88739999995
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,187.9,2,3,4,8,1,0,136.77,1.31,179.16870000000003
Commercial,North America,Over 92903,Over 1 million,More than 25,100,189.0,0,0,4,9,9,3,95567.14,25.66,2452252.8124
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,189.0,2,0,4,7,2,0,1010.0,1.31,1323.1000000000001
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,190.2,2,3,4,8,1,0,137.36,1.31,179.94160000000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,191.0,3,0,4,0,4,2,20704.53,7.52,155698.06559999997
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,191.1,2,3,4,8,1,0,137.59,1.31,180.24290000000002
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,191.3,0,0,2,9,9,3,95645.7,25.68,2456181.576
Commercial,North America,Over 92903,Over 1 million,More than 25,100,191.4,0,0,4,9,9,3,95649.12,25.68,2456269.4016
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,191.6,3,0,4,2,8,2,47846.14,7.52,359802.9728
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,60,191.6,3,0,4,2,8,2,47846.14,7.52,359802.9728
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,192.0,2,0,4,3,7,0,5003.3,1.31,6554.323
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,193.3,3,0,4,0,4,2,20740.69,7.53,156177.3957
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,193.3,3,0,4,0,4,2,20740.69,7.53,156177.3957
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,193.9,3,3,4,8,1,0,138.31,1.32,182.56920000000002
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,194.0,2,0,4,2,8,0,47882.67,1.32,63205.1244
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,194.2,2,3,4,8,1,0,138.39,1.32,182.6748
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,196.8,2,3,4,8,1,0,139.05,1.32,183.54600000000002
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,197.5,3,0,4,0,4,2,20806.7,7.55,157090.585
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,197.5,3,0,4,0,4,2,20806.7,7.55,157090.585
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,197.5,3,0,4,0,4,2,20806.7,7.55,157090.585
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,60,197.5,3,0,4,0,4,2,20806.7,7.55,157090.585
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,198.1,0,0,2,9,9,3,95877.96,25.73,2466939.9108
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,199.0,2,0,4,5,3,0,10127.2,1.33,13469.176000000001
Commercial,North America,Over 92903,Over 1 million,More than 25,100,199.3,0,0,4,9,9,3,95918.95,25.74,2468953.7729999996
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,200.0,2,0,4,7,2,0,1015.69,1.33,1350.8677000000002
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,200.0,2,3,2,8,1,0,139.88,1.33,186.0404
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,200.0,2,3,4,8,1,0,139.88,1.33,186.0404
Commercial,North America,Over 92903,Over 1 million,More than 25,100,200.2,0,0,4,9,9,3,95949.69,25.75,2470704.5175
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,201.0,0,3,4,0,4,3,20861.72,25.76,537397.9072
Commercial,North America,Over 92903,Over 1 million,More than 25,100,202.9,0,0,4,9,9,3,96041.91,25.77,2475000.0207
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,50,203.0,2,0,1,2,8,0,48019.65,1.33,63866.13450000001
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,203.0,2,0,4,0,4,0,20893.15,1.33,27787.889500000005
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,204.7,2,3,4,8,1,0,141.09,1.34,189.06060000000002
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,206.0,0,3,4,0,4,1,20940.31,16.52,345933.92120000004
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,206.4,3,0,4,5,3,2,10164.54,7.58,77047.21320000001
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,206.8,2,3,4,8,1,0,141.62,1.34,189.7708
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,50,207.0,0,0,4,0,4,1,20956.03,16.53,346403.17590000003
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,208.0,3,0,4,2,8,2,48095.74,7.59,365046.6666
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,208.6,0,0,2,9,9,3,96236.59,25.82,2484828.7538
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,209.1,2,3,4,8,1,0,142.22,1.34,190.5748
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,211.0,2,0,4,3,7,0,5044.77,1.35,6810.439500000001
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,211.0,2,0,4,4,6,0,486.77,1.35,657.1395
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,211.3,2,3,4,8,1,0,142.78,1.35,192.75300000000001
Commercial,North America,Over 92903,Over 1 million,More than 25,100,211.4,0,0,4,9,9,3,96332.23,25.84,2489224.8232
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,213.0,2,0,4,0,4,0,21050.33,1.35,28417.945500000005
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,213.0,0,0,2,9,9,3,96386.88,25.85,2491600.848
Commercial,Europe,Over 92903,Over 1 million,More than 25,100,213.0,0,0,2,9,9,3,96386.88,25.85,2491600.848
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,213.3,2,3,4,8,1,0,143.3,1.35,193.45500000000004
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,60,215.0,2,3,4,8,1,0,143.73,1.36,195.4728
