Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,367.47,459.3,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,367.59,459.5,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,9291 to 18580,"100,001 to 200,000",1 to 6,60,552.4,460.3,RC,95,5,0,0,15,85
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,552.88,460.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,369.16,461.5,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,369.65,462.1,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",More than 25,100,926,463.0,Steel - Concrete,0,20,80,0,77,23
Residential,Europe,94 to 465,"1,001 to 5,000",7 to 14,60,556.6,463.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,371.22,464.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,371.39,464.2,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,373.32,466.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,374.09,467.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,376.55,470.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,40,376.77,471.0,RC,95,5,0,0,15,85
Industrial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,60,565.61,471.3,RC,95,5,0,0,15,85
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,377.97,472.5,Steel - Concrete,0,20,80,0,77,23
Residential,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,382.12,477.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,478,478.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,480,480.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,480,480.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,386.92,483.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,387.9,484.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,485,485.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,487,487.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,391.98,490.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,46452 to 92903,"500,001 to 1 million",15 to 25,50,493.44,493.4,Steel - Concrete,0,20,80,0,77,23
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,395.21,494.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,398.34,497.9,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,40,400.14,500.2,RC,95,5,0,0,15,85
Residential,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,40,401.06,501.3,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,403.27,504.1,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,40,404.68,505.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,507,507.0,RC,95,5,0,0,15,85
Commercial,Africa,46452 to 92903,"500,001 to 1 million",7 to 14,50,508,508.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,509,509.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,510,510.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,515,515.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,516,516.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,517.06,517.1,RC,95,5,0,0,15,85
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,413.97,517.5,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,415.26,519.1,RC,95,5,0,0,15,85
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,415.61,519.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,More than 25,40,416.63,520.8,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,416.98,521.2,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,522.18,522.2,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,418.31,522.9,Steel - Concrete,0,20,80,0,77,23
Residential,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,50,528,528.0,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",15 to 25,60,634.21,528.5,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,422.82,528.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,529,529.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,423.37,529.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,425.53,531.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,532,532.0,RC,95,5,0,0,15,85
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,638.53,532.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,60,638.54,532.1,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,533,533.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,50,533,533.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,18581 to 46451,"200,001 to 500,000",1 to 6,60,640.75,534.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,50,535,535.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,430.91,538.6,Steel - Concrete,0,20,80,0,77,23
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,432.01,540.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,542,542.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,40,434.15,542.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,2324 to 4645,"25,001 to 50,000",1 to 6,50,544,544.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,435.64,544.6,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,436.12,545.2,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,436.33,545.4,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,60,657.15,547.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,439.41,549.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,549.49,549.5,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,439.96,550.0,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,440.55,550.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,660.88,550.7,Steel - Concrete,0,20,80,0,77,23
Residential,Europe,94 to 465,"1,001 to 5,000",7 to 14,60,664.6,553.8,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,446.21,557.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,561,561.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,15 to 25,50,562,562.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,451.28,564.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,40,453.53,566.9,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40,455.78,569.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,9291 to 18580,"100,001 to 200,000",1 to 6,50,570,570.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,457.53,571.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,576,576.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,577,577.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,50,578.24,578.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,462.89,578.6,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,464.32,580.4,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,464.89,581.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,465.02,581.3,Steel - Concrete,0,20,80,0,77,23
Residential,North America,Over 92903,Over 1 million,More than 25,40,465.66,582.1,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,583,583.0,RC,95,5,0,0,15,85
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,60,700,583.3,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,930 to 2323,"10,001 to 25,000",7 to 14,40,466.84,583.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40,467.69,584.6,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,469.77,587.2,Steel - Concrete,0,20,80,0,77,23
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,470.11,587.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,471.3,589.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,472.28,590.4,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40,473.26,591.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,473.32,591.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,40,473.77,592.2,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,594,594.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,594,594.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,50,597,597.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,598,598.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,478.97,598.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,601,601.0,RC,95,5,0,0,15,85
Commercial,Africa,2324 to 4645,"25,001 to 50,000",1 to 6,100,1209.71,604.9,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,485.79,607.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,485.95,607.4,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,610,610.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,15 to 25,40,490.11,612.6,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,490.19,612.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,491.74,614.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,7 to 14,40,491.75,614.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,40,492.23,615.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,617,617.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,493.88,617.4,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,621,621.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,60,747.72,623.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,501.89,627.4,RC,95,5,0,0,15,85
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,50,629.47,629.5,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",15 to 25,40,503.81,629.8,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,505.26,631.6,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,Over 92903,Over 1 million,More than 25,50,639,639.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,511.39,639.2,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,511.46,639.3,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,50,643,643.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,514.75,643.4,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,644,644.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,645,645.0,RC,95,5,0,0,15,85
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,517.12,646.4,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,40,517.89,647.4,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,648,648.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,651,651.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,521.6,652.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,652,652.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,1 to 6,40,522.68,653.4,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,50,655,655.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,525.5,656.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,94 to 465,"1,001 to 5,000",1 to 6,50,661,661.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,661,661.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",15 to 25,40,529.3,661.6,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,662,662.0,RC,95,5,0,0,15,85
Commercial,Europe,4646 to 9290,"50,001 to 100,000",1 to 6,30,398.45,664.1,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,665,665.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,533.58,667.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,533.9,667.4,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",More than 25,40,542.2,677.8,Steel - Concrete,0,20,80,0,77,23
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,553.79,692.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,40,556.13,695.2,RC,95,5,0,0,15,85
Commercial,Europe,4646 to 9290,"50,001 to 100,000",More than 25,50,701,701.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,561.49,701.9,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",7 to 14,40,563.73,704.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,572.07,715.1,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,15 to 25,40,574.36,718.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,40,575.17,719.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,578.9,723.6,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40,579.16,724.0,RC,95,5,0,0,15,85
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,581.32,726.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,582.83,728.5,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,583.2,729.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,590.35,737.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,742,742.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40,595.91,744.9,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,746,746.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,60,905,754.2,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,603.72,754.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,50,762.25,762.3,Steel - Concrete,0,20,80,0,77,23
Residential,North America,466 to 929,"5,001 to 10,000",7 to 14,50,768,768.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,619.74,774.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,620.59,775.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,782,782.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,790,790.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,791,791.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,795,795.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,636.62,795.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,802,802.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,802,802.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,802,802.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",7 to 14,50,803.15,803.2,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,643.89,804.9,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,Over 92903,Over 1 million,More than 25,40,645.19,806.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,820,820.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",7 to 14,40,673.25,841.6,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",15 to 25,40,674.22,842.8,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,682.25,852.8,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,4646 to 9290,"50,001 to 100,000",1 to 6,40,685.14,856.4,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,40,687.05,858.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,863,863.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,50,864.06,864.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",More than 25,50,870,870.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,871,871.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,873,873.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,876,876.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,704.78,881.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,717.52,896.9,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,722.29,902.9,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,Over 92903,Over 1 million,1 to 6,40,724.64,905.8,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,910,910.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,910,910.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,730.52,913.2,RC,95,5,0,0,15,85
Residential,Asia-Pacific,18581 to 46451,"200,001 to 500,000",More than 25,40,731.63,914.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,15 to 25,40,733.88,917.4,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,740.7,925.9,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,927,927.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,935,935.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,More than 25,40,748.03,935.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,950,950.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,40,772.05,965.1,Steel - Concrete,0,20,80,0,77,23
Residential,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,974,974.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,979,979.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,20,397.33,993.3,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,995,995.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,1001,1001.0,RC,95,5,0,0,15,85
Commercial,Europe,18581 to 46451,"200,001 to 500,000",7 to 14,40,801,1001.3,Steel - Concrete,0,20,80,0,77,23
Residential,North America,94 to 465,"1,001 to 5,000",1 to 6,50,1004,1004.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,1009,1009.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,844.49,1055.6,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,50,1060,1060.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,930 to 2323,"10,001 to 25,000",1 to 6,50,1065,1065.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1082,1082.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,882.65,1103.3,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",15 to 25,50,1108,1108.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,40,917.93,1147.4,RC,95,5,0,0,15,85
