Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,362.07,362.1,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,40,290,362.5,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,50,364,364.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,293.19,366.5,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,4646 to 9290,"50,001 to 100,000",7 to 14,60,441.15,367.6,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,466 to 929,"5,001 to 10,000",1 to 6,60,443.2,369.3,RC,95,5,0,0,15,85
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,60,444.87,370.7,RC,95,5,0,0,15,85
Residential,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,296.6,370.8,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,371,371.0,RC,95,5,0,0,15,85
Residential,Europe,94 to 465,"1,001 to 5,000",7 to 14,60,448.6,373.8,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,374,374.0,RC,95,5,0,0,15,85
Residential,North America,9291 to 18580,"100,001 to 200,000",7 to 14,40,299.21,374.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,300.12,375.2,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,377,377.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,50,379,379.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,More than 25,50,380,380.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,1 to 6,50,381,381.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,381,381.0,RC,95,5,0,0,15,85
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",1 to 6,50,383,383.0,RC,95,5,0,0,15,85
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,385,385.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,40,308.32,385.4,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,308.43,385.5,RC,95,5,0,0,15,85
Residential,Europe,46452 to 92903,"500,001 to 1 million",15 to 25,40,308.56,385.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,386,386.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,40,309.79,387.2,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",15 to 25,40,310.4,388.0,Steel - Concrete,0,20,80,0,77,23
Residential,South America,18581 to 46451,"200,001 to 500,000",15 to 25,40,310.47,388.1,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,389,389.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,389,389.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,391,391.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,2324 to 4645,"25,001 to 50,000",7 to 14,60,470,391.7,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,50,392,392.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,313.63,392.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,Over 92903,Over 1 million,More than 25,40,314.44,393.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,314.93,393.7,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,75,591.78,394.5,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",More than 25,40,317.23,396.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,399,399.0,RC,95,5,0,0,15,85
